LAU_NAME,total_population,popul_bg,popul_turkish,popul_roma,popul_other,percentage_bg,percentage_turkish,percentage_roma,percentage_other,total_minorities,percentage_minorities,total_crime,crime_per_1000,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_children_total,total_schools,schools_1000_children,total_teachers,teachers_1000_children,total_kindergartens,kindergartens_1000,children_kindergarten,children_kg_rate,pop_0_6,pop_7_10,pop_11_13,pop_14_19,pop_school_age,total_students,total_school_enrolment,1_4_grade,1_4_grade_enrolment,5_7_grade,5_7_grade_enrolment,8_12_grade,8_12_grade_enrolment,pop_15,pop_19,12_grade_graduates,12_grade_graduates_rate,8_grade_graduates,8_grade_graduate_rate,hospitals,hospitals_1000,hospital_beds,hospital_beds_1000,employment_rate,unemployment_rate,tertiary_educ_rate,secondary_educ_rate,middle_educ_rate,primary_educ_rate,illiteracy_rate,NUTS_NAME,average_salary,deprivation_rate,avg_household_size,pop_over_65,number_doctors,doctors_1000,rate_city_pop,rate_village_pop,rate_lang_roma,rate_lang_non_bg
Царево,8329,6570,21,1122,77,78.88101813,0.2521311082,13.47100492,0.92448073,1220,14.64761676,115,13.85520471,372,377,423,377,1549,2,1.945525292,68,66.14785992,2,3.838771593,324,62.18809981,521,304,257,467,1028,805,78.307393,287,94.40789474,274,106.614786,244,52.248394,76,73,27,36.98630137,84,115.0684932,0,0,0,0,65.6,15.7,18.18647541,49.18032787,20.37653689,12.25665984,1.173862006,Бургас,15859,22.4,2.3,1914,12,1.44074919,76.09122654,23.90877346,13.26689879,14.59959179
Котел,15919,5314,4733,4117,138,33.38149381,29.73176707,25.86217727,0.8668886237,8988,56.46083297,68,4.259061499,854,843,926,880,3503,10,4.288164666,183,78.47341338,6,5.12382579,409,34.92741247,1171,692,554,1086,2332,1709,73.28473413,600,86.70520231,527,95.12635379,582,53.59116022,193,134,77,57.46268657,176,131.3432836,1,0.06281801621,57,3.580626924,63.6,42.9,8.014646054,32.43829672,35.17765121,24.36940602,4.376215615,Сливен,14891,32.5,2.5,3451,12,0.7747555332,27.89169593,72.10830407,22.97883033,53.8790125
Нова Загора,30569,22423,3161,1499,168,73.35208872,10.34054107,4.903660571,0.5495763682,4828,15.79377801,240,7.864176126,1656,2008,1940,1577,7181,14,2.931323283,290,60.72026801,20,8.316008316,969,40.29106029,2405,1621,1185,1970,4776,3237,67.77638191,1238,76.3726095,927,78.2278481,1072,54.41624365,358,239,123,51.46443515,264,110.460251,1,0.03271287906,90,2.944159115,58,13.8,14.28419259,42.14600199,24.41769635,19.15210908,3.582286363,Сливен,14891,32.5,2.4,7576,59,1.930059865,57.46599689,42.53400311,5.243874513,16.57561582
Сливен,112890,80042,4331,14872,1488,70.9026486,3.836477987,13.17388608,1.318097263,20691,18.32846133,595,5.267074143,6652,6901,7486,6244,27283,39,2.18230653,1161,64.9655867,27,2.895240119,4156,44.15639609,9412,5602,4567,7702,17871,14293,79.9787365,5148,91.89575152,4333,94.8762864,4812,62.47727863,1404,982,677,68.94093686,1142,116.293279,4,0.03720435822,871,7.711931969,62.9,12.5,19.12387174,42.86611647,19.30458648,18.70542531,4.837251805,Сливен,14891,32.5,2.4,24656,434,3.84445035,72.66511051,27.33488949,12.49003455,17.45061564
Твърдица,13312,7828,992,3430,67,58.80408654,7.451923077,25.76622596,0.5033052885,4489,33.72145433,46,3.425480769,1092,1000,980,874,3946,5,2.025931929,129,52.26904376,6,4.059539919,585,39.58051421,1478,801,611,1056,2468,1728,70.01620746,743,92.75905119,571,93.45335516,414,39.20454545,179,134,23,17.1641791,138,102.9850746,0,0,0,0,48.6,22.7,8.484029069,32.89673821,23.73669089,34.88254183,10.82501314,Сливен,14891,32.5,2.8,2518,6,0.4757612179,69.86739826,30.13260174,29.52223558,37.35727163
Братя Даскалови,7266,5205,394,1238,55,71.63501239,5.422515827,17.03826039,0.7569501789,1687,23.2177264,30,4.101293697,394,385,386,326,1491,6,6.10403397,53,56.26326964,6,10.92896175,204,37.15846995,549,318,214,410,942,484,51.38004246,240,75.47169811,184,85.98130841,60,14.63414634,89,50,0,0,46,92,0,0,0,0,55.2,27.9,7.83087688,39.66056275,32.09766265,20.41089772,4.801097394,Стара Загора,18224,22.8,2.3,2227,3,0.4128819158,0,100,17.07954858,24.70410129
Гурково,4420,3508,172,197,39,79.36651584,3.891402715,4.457013575,0.8823529412,408,9.230769231,25,5.701357466,324,314,306,222,1166,2,2.78551532,44,61.28133705,1,2.232142857,129,28.79464286,448,254,193,271,718,543,75.62674095,233,91.73228346,169,87.56476684,141,52.0295203,60,24,9,37.5,53,220.8333333,0,0,0,0,60.8,33.3,8.006042296,41.06243706,23.53977845,27.3917422,7.604166667,Стара Загора,18224,22.8,2.6,955,3,0.754147813,53.21327014,46.78672986,4.07239819,25.36199095
Гълъбово,10967,9499,52,908,31,86.61438862,0.4741497219,8.279383605,0.2826661804,991,9.036199508,75,6.838697912,438,481,550,469,1938,5,3.855050116,96,74.01696222,2,3.120124805,297,46.33385335,641,376,330,591,1297,1122,86.5073246,395,105.0531915,333,100.9090909,394,66.66666667,104,86,47,54.65116279,106,123.255814,1,0.09118263883,100,9.118263883,68.5,20.2,8.967654464,55.75246949,24.0848344,11.19504164,1.241991129,Стара Загора,18224,22.8,2.5,2907,32,2.948238655,63.79070415,36.20929585,4.659432844,5.452721802
Казанлък,65721,53177,3942,2503,1197,80.91325452,5.998082805,3.808523912,1.821335646,7642,11.62794236,314,4.777772706,2697,3098,3373,2996,12164,26,3.132907579,654,78.80467526,14,3.62225097,2194,56.76584735,3865,2562,2081,3656,8299,7706,92.85456079,2494,97.34582358,2044,98.22200865,3168,86.65207877,700,500,506,101.2,667,133.4,2,0.03043167329,240,3.648757627,72.5,9.1,21.33503621,53.82339628,14.40927315,10.43229436,1.226254724,Стара Загора,18224,22.8,2.3,16529,181,2.759138378,72.41759736,27.58240264,3.049253663,9.981588838
Мъглиж,9992,5551,284,3138,103,55.55444355,2.842273819,31.4051241,1.03082466,3525,35.27822258,62,6.164931946,567,564,646,583,2360,7,4.475703325,102,65.2173913,4,5.025125628,354,44.47236181,796,448,412,704,1564,1031,65.92071611,369,82.36607143,367,89.0776699,295,41.90340909,108,102,18,17.64705882,66,64.70588235,0,0,0,0,65.4,34.1,8.895171814,41.27881688,22.85776425,26.96824706,9.554069119,Стара Загора,18224,22.8,2.5,2544,6,0.6004803843,30.37728112,69.62271888,30.90472378,34.56765412
